gen,min,avg,max
0,1.0,6.4239999999999995,19.4
1,1.0,7.783999999999999,9.8
2,1.0,8.67,16.9
3,1.0,8.972,17.0
4,1.0,9.209,14.2
5,1.0,9.358,10.0
6,1.0,9.474,9.7
7,1.0,9.542,9.8
8,1.0,9.575999999999999,9.9
9,1.0,9.646,16.3
10,1.0,9.595,10.0
11,1.0,9.620000000000001,10.1
12,1.0,9.658000000000001,9.8
13,1.0,9.679,9.8
14,1.0,9.687000000000001,9.7
15,1.0,9.699000000000002,10.0
16,1.0,9.703,10.0
17,1.0,9.699000000000002,9.8
18,1.0,9.719,10.2
19,1.0,9.76,9.8
20,1.0,9.895000000000001,21.2
21,1.0,9.792000000000002,10.1
22,1.0,9.856000000000002,16.4
23,1.0,9.793,10.1
24,1.0,9.799000000000001,10.0
25,1.0,9.891,17.4
26,1.0,9.855,10.1
27,1.0,9.927999999999999,14.9
28,1.0,9.892,10.1
29,1.0,9.897,9.9
30,1.0,9.901,10.1
31,1.0,9.899999999999999,10.0
32,1.0,9.899,9.9
33,1.0,9.899999999999999,10.0
34,1.0,9.901,10.2
35,1.0,9.958,15.9
36,1.0,9.899999999999999,10.0
37,1.0,9.901,10.0
38,1.0,9.904,10.0
39,1.0,10.105,28.9
40,1.0,9.959999999999999,10.0
41,1.0,9.978,10.0
42,1.0,10.048,16.1
43,1.0,10.0,10.1
44,1.0,10.0,10.0
45,1.0,10.001,10.1
46,1.0,10.106,20.6
47,1.0,10.094,19.4
48,1.0,10.0,10.0
49,1.0,10.001000000000001,10.1
50,1.0,10.001000000000001,10.1
51,1.0,10.083,18.3
52,1.0,10.001,10.1
53,1.0,10.001,10.1
54,1.0,10.0,10.0
55,1.0,10.08,17.9
56,1.0,10.054999999999998,10.2
57,1.0,10.081,10.1
58,1.0,10.091,10.1
59,1.0,10.091999999999999,10.2
60,1.0,10.094,10.1
61,1.0,10.101999999999999,10.4
62,1.0,10.099,10.1
63,1.0,10.1,10.1
64,1.0,10.1,10.1
65,1.0,10.164,16.5
66,1.0,10.1,10.1
67,1.0,10.144,14.5
68,1.0,10.129,13.0
69,1.0,10.101,10.2
70,1.0,10.102,10.3
71,1.0,10.102,10.3
72,1.0,10.1,10.1
73,1.0,10.102,10.3
74,1.0,10.1,10.1
75,1.0,10.131,13.2
76,1.0,10.104000000000001,10.4
77,1.0,10.186,17.0
78,1.0,10.161,10.2
79,1.0,10.178999999999998,10.4
80,1.0,10.285,19.5
81,1.0,10.198,10.3
82,1.0,10.199,10.4
83,1.0,10.201,10.3
84,1.0,10.2,10.2
85,1.0,10.2,10.2
86,1.0,10.201,10.3
87,1.0,10.201,10.3
88,1.0,10.202,10.4
89,1.0,10.24,14.2
90,1.0,10.254000000000001,15.6
91,1.0,10.286999999999999,18.9
92,1.0,10.2,10.2
93,1.0,10.302,20.4
94,1.0,10.2,10.2
95,1.0,10.2,10.2
96,1.0,10.2,10.2
97,1.0,10.354,25.6
98,1.0,10.262,16.4
99,1.0,10.251,15.3
